title,original_language,release_date,popularity,vote_count,vote_average,budget,revenue,runtime,adult,genre_names,rating_group
Hipnos,en,2004-10-08,2.642,29,5.5,0,1652711,93,FALSE,"Horror, Thriller",low
Arundhati,te,2009-01-16,2.52,21,6.7,2915739,14000000,132,FALSE,"Fantasy, Horror, Thriller",high
Apprentice to Murder,en,1988-02-26,2.499,18,4.8,0,466369,97,FALSE,"Horror, Mystery",low
Three,ko,2002-07-09,2.486,49,5.9,0,1691811,129,FALSE,"Horror, Mystery",low
Alice: Boy from Wonderland,ko,2015-12-10,2.427,34,7.9,0,1000,118,FALSE,"Fantasy, Horror, Romance",high
Atakan. The Bloody Legend,ru,2020-08-13,2.369,43,6.4,0,10759,81,FALSE,Horror,high
RangiTaranga,kn,2015-07-03,2.356,17,7.5,490000,5000000,149,FALSE,"Horror, Mystery, Thriller",high
Musallat,tr,2007-11-16,2.318,19,5.4,0,1500000,95,FALSE,Horror,low
One Way Trip,en,2011-09-22,2.306,17,5,0,1105114,86,FALSE,Horror,low
Haunted Road 2,zh,2017-10-12,2.232,30,6.7,0,1320000,89,FALSE,Horror,high
The Warning,en,2012-12-21,2.223,12,3.5,500000,500000,79,FALSE,Horror,low
The Figurine: Araromire,en,2009-10-02,2.159,11,4.2,300000,200000,122,FALSE,"Drama, Horror, Mystery",low
D@bbe 2,tr,2009-12-24,2.157,12,2,600,3,81,FALSE,"Horror, Mystery",low
Visible Secret,cn,2001-06-01,2.131,12,6.3,0,1138807,89,FALSE,"Fantasy, Horror, Mystery",high
Who Are You?,th,2010-02-25,2.101,14,6.6,0,745,88,FALSE,"Drama, Horror, Mystery",high
A Night in the Woods,en,2011-08-29,2.084,11,3,0,357,82,FALSE,"Horror, Mystery",low
Ek Thi Daayan,hi,2013-04-18,2.062,21,5.5,3500000,6500000,135,FALSE,"Horror, Romance, Thriller",low
Behind You,en,2020-07-30,2.034,28,4.7,0,438694,86,FALSE,Horror,low
Dogman's Rabies: Underdog,it,2018-06-07,1.987,19,5.7,0,26400,120,FALSE,"Crime, Horror, Thriller",low
Resident Evil: Afterlife,en,2010-09-09,1.916,3274,6.1,60000000,300228084,97,FALSE,"Action, Adventure, Horror, Science Fiction",high
Lost Place,de,2013-09-19,1.908,13,4.7,5200000,159828,101,FALSE,"Horror, Mystery, Thriller",low
Black Serenade,de,2001-07-19,1.905,20,5.3,3000000,3098924,110,FALSE,"Drama, Horror, Thriller",low
It Smells Like Someone Died Here... But It Wasn't Me!,es,1990-01-26,1.884,14,4.7,0,3073994,88,FALSE,"Comedy, Horror",low
The House of Usher,en,2007-09-11,1.863,16,4.7,130000,1677,80,FALSE,"Drama, Horror, Thriller",low
School Killer,es,2001-06-29,1.826,12,4.9,0,804033,86,FALSE,"Horror, Mystery",low
Phoonk,hi,2008-08-22,1.789,11,2.8,750000,2760000,179,FALSE,"Drama, Horror, Mystery",low
Bunker of the Dead,de,2016-02-18,1.73,24,4.5,30000,10147,76,FALSE,"Action, Comedy, Horror",low
Morgana,es,2012-08-03,1.671,21,6.1,0,1612100,120,FALSE,Horror,high
Prey,es,2020-02-28,1.631,26,6.1,0,4164,87,FALSE,"Horror, Thriller",high
Zombadings 1: Patayin sa Shokot si Remington,tl,2011-08-31,1.599,12,5.1,22361,721651,96,FALSE,"Comedy, Horror",low
Diary,cn,2006-10-26,1.531,21,6.1,2576871,749981,85,FALSE,"Horror, Thriller",high
Crazy Bitches,en,2014-06-26,1.522,16,4.1,3,2,100,FALSE,"Comedy, Horror",low
The Visitors,sv,1988-04-29,1.485,17,6.2,0,970000,102,FALSE,Horror,high
The Naked Witch,en,1964-01-01,1.476,13,3.1,8000,80000,59,FALSE,"Horror, Thriller",low
The Killer Is One of Thirteen,es,1973-01-01,1.464,14,6.1,0,53074,93,FALSE,"Horror, Mystery, Thriller",high
Dislike,ru,2016-09-22,1.393,16,3.2,0,178210,85,FALSE,Horror,low
AA-,pt,2019-03-29,1.345,21,3.2,2000,50,0,FALSE,Horror,low
Pisaasu,ta,2014-12-19,1.237,26,6.7,310000,1200000,114,FALSE,"Drama, Horror, Thriller",high
The Art of Dying,es,2000-05-31,1.226,15,5.3,0,3245033,98,FALSE,"Horror, Thriller",low
Island: Wedding of the Zombies,tr,2010-01-29,1.201,15,5.5,0,131966,76,FALSE,"Comedy, Horror",low
Munafik,ms,2016-02-25,1.199,16,6.6,393894,1058591,98,FALSE,Horror,high
Childish Games,es,2012-03-09,1.132,28,5.2,0,419559,95,FALSE,"Drama, Horror, Thriller",low
Apartment 18,ru,2014-03-13,1.05,12,4.9,0,320395,89,FALSE,"Horror, Mystery, Thriller",low
Evil,sk,2012-04-12,1.006,12,4.7,0,35875,80,FALSE,Horror,low
Manhunter,en,1986-08-14,0.6,1025,7,15000000,8620929,120,FALSE,"Crime, Horror, Thriller",high
